SALDO_ATUAL;RESIDENCIADESDE;IDADE;OUTROSPLANOSPGTO;DATA;ESTADOCIVIL;PROPOSITO;CLASSE
3872;4;67;nenhum;12/12/2019;fem div/cas;obras;bom
4933;2;25;nenhum;12/12/2020;masculino solteiro;radio/tv;ruim
1940;4;60;nenhum;13/12/2019;masculino solteiro;carro novo;bom
1410;2;31;nenhum;13/12/2020;masculino solteiro;qualificação;bom
836;2;23;banco;14/12/2019;fem div/cas;carro novo;ruim
6468;4;60;nenhum;15/12/2020;masculino div/sep;carro usado;bom
1941;2;35;nenhum;16/12/2019;masculino solteiro;negócios;bom
2675;4;40;nenhum;17/12/2019;masculino solteiro;radio/tv;bom
2751;3;38;nenhum;18/12/2020;masculino solteiro;carro usado;bom
6224;4;50;nenhum;19/12/2020;masculino solteiro;educação;ruim
5998;3;27;banco;20/12/2020;masculino solteiro;educação;ruim
1188;4;39;nenhum;20/12/2018;fem div/cas;negócios;ruim
6313;4;41;nenhum;20/12/2018;masculino solteiro;carro usado;bom
1221;2;27;nenhum;21/12/2019;masculino casado/viuvo;mobilia/equipamento;bom
2892;4;51;nenhum;21/12/2019;masculino div/sep;mobilia/equipamento;bom
3062;3;32;nenhum;22/12/2018;masculino solteiro;mobilia/equipamento;bom
2301;4;22;nenhum;23/12/2018;fem div/cas;mobilia/equipamento;bom
7511;4;51;nenhum;23/12/2019;masculino solteiro;carro usado;ruim
1258;4;22;nenhum;24/12/2019;fem div/cas;mobilia/equipamento;bom
717;4;54;nenhum;25/12/2019;masculino casado/viuvo;carro novo;bom
1549;2;35;nenhum;28/12/2019;masculino solteiro;carro novo;bom
1597;4;54;nenhum;01/01/2019;masculino solteiro;educação;bom
1795;4;48;banco;01/01/2020;fem div/cas;radio/tv;bom
4272;4;24;nenhum;02/01/2020;fem div/cas;mobilia/equipamento;bom
976;4;35;nenhum;02/01/2019;masculino solteiro;radio/tv;bom
7472;2;24;nenhum;03/01/2018;fem div/cas;carro novo;bom
9271;1;24;nenhum;04/01/2020;masculino solteiro;carro novo;ruim
590;3;26;nenhum;06/01/2019;masculino casado/viuvo;radio/tv;bom
930;4;65;nenhum;06/01/2019;masculino solteiro;radio/tv;bom
9283;2;55;banco;06/01/2020;masculino solteiro;carro usado;bom
1778;1;26;nenhum;06/01/2020;fem div/cas;carro novo;ruim
907;2;26;nenhum;08/01/2019;masculino casado/viuvo;negócios;bom
484;3;28;banco;09/01/2018;masculino casado/viuvo;radio/tv;bom
9629;4;24;nenhum;10/01/2019;masculino solteiro;carro usado;ruim
3051;4;54;nenhum;12/01/2020;masculino solteiro;Eletrodomésticos;ruim
3931;4;46;nenhum;12/01/2018;masculino solteiro;carro novo;ruim
7432;2;54;nenhum;13/01/2020;fem div/cas;carro novo;bom
1338;4;62;nenhum;13/01/2019;masculino div/sep;Eletrodomésticos;bom
1554;2;24;nenhum;14/01/2019;fem div/cas;radio/tv;bom
15857;3;43;nenhum;14/01/2019;masculino div/sep;outros;bom
1345;3;26;banco;15/01/2018;masculino casado/viuvo;radio/tv;ruim
1101;2;27;nenhum;17/01/2019;masculino casado/viuvo;carro novo;bom
3016;1;24;nenhum;17/01/2020;masculino casado/viuvo;radio/tv;bom
2712;2;41;banco;17/01/2018;masculino solteiro;mobilia/equipamento;ruim
731;4;47;nenhum;18/01/2019;masculino solteiro;carro novo;bom
3780;2;35;nenhum;19/01/2019;masculino div/sep;mobilia/equipamento;bom
1602;3;30;nenhum;21/01/2018;masculino casado/viuvo;carro novo;bom
3966;4;33;banco;21/01/2018;fem div/cas;carro novo;ruim
4165;2;36;stores;22/01/2020;masculino solteiro;negócios;ruim
8335;4;47;nenhum;22/01/2018;masculino solteiro;carro usado;ruim
6681;4;38;nenhum;23/01/2019;masculino solteiro;negócios;bom
2375;2;44;nenhum;23/01/2018;masculino solteiro;negócios;bom
1216;3;23;nenhum;24/01/2020;fem div/cas;carro novo;ruim
11816;4;29;nenhum;24/01/2019;masculino solteiro;negócios;ruim
5084;4;42;nenhum;24/01/2020;fem div/cas;radio/tv;bom
2327;3;25;nenhum;26/01/2020;fem div/cas;radio/tv;ruim
1082;4;48;banco;27/01/2019;masculino solteiro;carro novo;ruim
886;2;21;nenhum;27/01/2018;fem div/cas;radio/tv;bom
601;3;23;nenhum;27/01/2020;fem div/cas;mobilia/equipamento;bom
2957;4;63;nenhum;27/01/2020;masculino solteiro;carro usado;bom
2611;3;46;nenhum;29/01/2019;masculino casado/viuvo;radio/tv;bom
5179;2;29;nenhum;30/01/2018;masculino solteiro;mobilia/equipamento;ruim
2993;2;28;stores;30/01/2018;masculino solteiro;carro usado;bom
1943;4;23;nenhum;01/02/2019;fem div/cas;obras;ruim
1559;4;50;banco;02/02/2019;masculino solteiro;negócios;bom
3422;4;47;banco;02/02/2019;masculino solteiro;mobilia/equipamento;bom
3976;3;35;nenhum;03/02/2019;masculino solteiro;mobilia/equipamento;bom
6761;4;68;nenhum;05/02/2020;masculino solteiro;carro novo;ruim
1249;2;28;nenhum;08/02/2018;masculino casado/viuvo;carro novo;bom
1364;4;59;nenhum;09/02/2020;masculino solteiro;radio/tv;bom
709;4;57;stores;09/02/2020;masculino solteiro;radio/tv;ruim
2235;2;33;banco;09/02/2019;masculino casado/viuvo;carro novo;ruim
4042;4;43;nenhum;10/02/2019;masculino solteiro;carro usado;bom
1471;4;35;nenhum;10/02/2018;masculino solteiro;radio/tv;bom
1442;4;32;nenhum;11/02/2018;masculino solteiro;carro novo;ruim
10875;2;45;nenhum;11/02/2018;masculino solteiro;carro novo;bom
1474;3;33;nenhum;12/02/2020;masculino casado/viuvo;carro novo;bom
894;3;40;nenhum;13/02/2020;fem div/cas;qualificação;bom
3343;2;28;nenhum;13/02/2020;masculino solteiro;mobilia/equipamento;bom
3959;2;29;nenhum;14/02/2020;fem div/cas;carro novo;ruim
3577;2;26;nenhum;14/02/2018;masculino solteiro;carro novo;bom
5804;2;27;nenhum;15/02/2019;masculino solteiro;carro usado;bom
2169;2;28;nenhum;19/02/2018;masculino casado/viuvo;negócios;ruim
2439;4;35;nenhum;20/02/2018;fem div/cas;radio/tv;ruim
4526;2;32;stores;21/02/2020;masculino solteiro;mobilia/equipamento;bom
2210;2;25;banco;21/02/2019;masculino solteiro;mobilia/equipamento;ruim
;4;20;nenhum;21/02/2019;fem div/cas;mobilia/equipamento;bom
2389;1;27;stores;22/02/2020;fem div/cas;radio/tv;bom
3331;4;42;stores;24/02/2019;masculino solteiro;mobilia/equipamento;bom
7409;2;37;nenhum;24/02/2019;masculino solteiro;negócios;bom
652;4;24;nenhum;24/02/2020;fem div/cas;mobilia/equipamento;bom
7678;4;40;nenhum;25/02/2020;fem div/cas;mobilia/equipamento;bom
1343;4;46;nenhum;27/02/2019;masculino solteiro;carro novo;bom
1382;1;26;nenhum;27/02/2019;masculino solteiro;negócios;bom
874;1;24;nenhum;27/02/2019;fem div/cas;Eletrodomésticos;bom
3590;2;29;nenhum;28/02/2019;masculino solteiro;mobilia/equipamento;bom
1322;4;40;nenhum;02/03/2019;fem div/cas;carro novo;bom
1940;4;36;banco;04/03/2019;masculino solteiro;radio/tv;bom
3595;2;28;nenhum;04/03/2019;masculino solteiro;radio/tv;bom
1422;2;27;nenhum;04/03/2019;masculino solteiro;carro novo;ruim
6742;3;36;nenhum;04/03/2019;masculino solteiro;radio/tv;bom
7814;3;38;nenhum;07/03/2020;masculino solteiro;carro usado;bom
9277;4;48;nenhum;08/03/2018;masculino div/sep;carro usado;bom
2181;4;36;nenhum;09/03/2019;masculino solteiro;carro novo;bom
1098;4;65;nenhum;10/03/2018;fem div/cas;radio/tv;bom
4057;3;43;nenhum;11/03/2020;masculino div/sep;mobilia/equipamento;ruim
795;4;53;nenhum;12/03/2019;fem div/cas;educação;ruim
2825;3;34;nenhum;13/03/2019;masculino solteiro;negócios;bom
15672;2;23;nenhum;14/03/2018;masculino solteiro;negócios;ruim
6614;4;34;nenhum;14/03/2018;masculino solteiro;carro novo;bom
7824;4;40;banco;15/03/2020;masculino solteiro;carro usado;bom
2442;4;43;stores;15/03/2019;masculino solteiro;negócios;bom
1829;4;46;nenhum;17/03/2020;masculino solteiro;radio/tv;bom
2171;4;38;banco;17/03/2018;masculino solteiro;carro novo;bom
5800;4;34;nenhum;18/03/2019;masculino solteiro;carro usado;bom
1169;3;29;nenhum;18/03/2018;masculino solteiro;radio/tv;bom
8947;2;31;stores;19/03/2019;masculino solteiro;carro usado;bom
2606;4;28;nenhum;23/03/2019;fem div/cas;radio/tv;bom
1592;2;35;nenhum;23/03/2020;fem div/cas;mobilia/equipamento;bom
2186;4;33;banco;23/03/2018;fem div/cas;mobilia/equipamento;bom
4153;3;42;nenhum;23/03/2019;masculino solteiro;mobilia/equipamento;ruim
2625;4;43;banco;28/03/2020;masculino solteiro;carro novo;ruim
3485;4;44;nenhum;29/03/2018;masculino div/sep;carro novo;bom
;4;42;nenhum;30/03/2019;masculino solteiro;carro usado;bom
1386;2;40;nenhum;30/03/2018;masculino casado/viuvo;radio/tv;bom
1278;1;36;nenhum;01/04/2018;masculino solteiro;radio/tv;bom
1107;2;20;nenhum;01/04/2019;masculino solteiro;radio/tv;bom
3763;2;24;nenhum;02/04/2020;masculino solteiro;carro novo;bom
3711;2;27;nenhum;04/04/2020;masculino casado/viuvo;educação;bom
3594;2;46;nenhum;05/04/2020;fem div/cas;carro usado;bom
3195;2;33;nenhum;10/04/2019;fem div/cas;carro novo;bom
4454;4;34;nenhum;11/04/2020;fem div/cas;radio/tv;bom
4736;4;25;banco;12/04/2018;fem div/cas;mobilia/equipamento;ruim
;4;25;nenhum;13/04/2020;fem div/cas;radio/tv;bom
2142;2;28;nenhum;13/04/2019;masculino div/sep;negócios;bom
3161;2;31;nenhum;13/04/2020;masculino solteiro;negócios;ruim
18424;2;32;banco;14/04/2019;fem div/cas;outros;ruim
2848;2;32;nenhum;14/04/2018;masculino solteiro;carro usado;bom
14896;4;68;banco;16/04/2019;masculino solteiro;carro novo;ruim
2359;1;33;nenhum;17/04/2020;masculino div/sep;mobilia/equipamento;ruim
3345;2;39;nenhum;17/04/2019;masculino solteiro;mobilia/equipamento;ruim
1817;2;28;nenhum;17/04/2019;fem div/cas;mobilia/equipamento;bom
12749;1;37;nenhum;18/04/2018;masculino solteiro;radio/tv;bom
1366;4;22;nenhum;18/04/2019;fem div/cas;radio/tv;ruim
2002;4;30;nenhum;19/04/2019;masculino solteiro;carro novo;bom
6872;1;55;banco;20/04/2019;masculino div/sep;mobilia/equipamento;ruim
697;2;46;banco;21/04/2018;masculino solteiro;carro novo;ruim
1049;4;21;nenhum;21/04/2020;fem div/cas;mobilia/equipamento;bom
10297;4;39;stores;22/04/2020;masculino solteiro;carro usado;ruim
1867;4;58;nenhum;23/04/2018;masculino solteiro;radio/tv;bom
1344;2;43;nenhum;23/04/2018;masculino solteiro;carro novo;bom
1747;1;24;nenhum;25/04/2019;masculino solteiro;mobilia/equipamento;bom
1670;2;22;nenhum;26/04/2020;fem div/cas;radio/tv;ruim
1224;1;30;nenhum;26/04/2019;masculino solteiro;carro novo;bom
;4;42;nenhum;29/04/2019;masculino solteiro;radio/tv;bom
1498;1;23;banco;29/04/2019;fem div/cas;radio/tv;bom
1919;3;30;stores;29/04/2020;;radio/tv;ruim
745;2;28;nenhum;01/05/2019;fem div/cas;radio/tv;ruim
2063;3;30;nenhum;01/05/2020;masculino casado/viuvo;radio/tv;bom
6288;4;42;nenhum;03/05/2020;masculino solteiro;educação;ruim
6842;4;46;nenhum;04/05/2020;masculino solteiro;carro usado;bom
3527;3;45;nenhum;05/05/2018;masculino solteiro;carro novo;bom
1546;2;31;nenhum;05/05/2020;masculino solteiro;carro novo;bom
929;2;31;stores;05/05/2018;masculino solteiro;mobilia/equipamento;bom
1455;1;42;nenhum;06/05/2018;masculino solteiro;carro novo;bom
1845;1;46;nenhum;06/05/2019;fem div/cas;mobilia/equipamento;bom
8358;1;30;nenhum;06/05/2018;fem div/cas;carro novo;bom
3349;4;30;nenhum;08/05/2018;masculino solteiro;mobilia/equipamento;ruim
2859;4;38;nenhum;09/05/2018;masculino solteiro;carro novo;bom
1533;1;43;nenhum;09/05/2018;masculino casado/viuvo;mobilia/equipamento;ruim
3621;4;31;nenhum;10/05/2020;masculino solteiro;radio/tv;ruim
3590;3;40;nenhum;13/05/2020;masculino casado/viuvo;negócios;bom
2145;1;24;nenhum;14/05/2018;masculino solteiro;negócios;ruim
4113;4;28;nenhum;14/05/2018;fem div/cas;carro usado;ruim
10974;2;26;nenhum;14/05/2018;fem div/cas;mobilia/equipamento;ruim
1893;4;29;nenhum;15/05/2018;fem div/cas;carro novo;bom
1231;4;57;nenhum;17/05/2019;fem div/cas;radio/tv;bom
3656;4;49;stores;17/05/2020;masculino solteiro;radio/tv;bom
1154;4;37;nenhum;18/05/2018;masculino solteiro;radio/tv;bom
4006;2;45;nenhum;19/05/2018;masculino solteiro;carro novo;ruim
3069;4;30;nenhum;19/05/2018;masculino solteiro;mobilia/equipamento;bom
1740;2;30;nenhum;22/05/2020;masculino casado/viuvo;radio/tv;bom
2353;4;47;nenhum;23/05/2018;masculino div/sep;carro novo;bom
3556;2;29;nenhum;24/05/2020;masculino solteiro;carro novo;bom
2397;2;35;banco;26/05/2020;masculino solteiro;radio/tv;ruim
454;1;22;nenhum;27/05/2020;masculino casado/viuvo;obras;bom
1715;1;26;nenhum;28/05/2019;fem div/cas;radio/tv;bom
2520;2;23;nenhum;28/05/2019;masculino solteiro;radio/tv;ruim
3568;2;54;banco;30/05/2020;fem div/cas;radio/tv;bom
7166;4;29;nenhum;30/05/2019;masculino casado/viuvo;radio/tv;bom
3939;2;40;nenhum;30/05/2018;masculino solteiro;carro novo;bom
1514;2;22;nenhum;30/05/2019;masculino solteiro;obras;bom
7393;4;43;nenhum;02/06/2018;masculino solteiro;carro novo;bom
1193;4;29;nenhum;04/06/2020;fem div/cas;carro novo;ruim
7297;4;36;nenhum;06/06/2020;masculino solteiro;negócios;ruim
2831;2;33;nenhum;08/06/2018;fem div/cas;radio/tv;bom
1258;3;57;nenhum;09/06/2019;fem div/cas;radio/tv;bom
753;3;64;nenhum;12/06/2019;fem div/cas;radio/tv;bom
2427;2;42;nenhum;15/06/2020;masculino solteiro;negócios;bom
2538;4;47;nenhum;15/06/2019;masculino solteiro;carro novo;ruim
1264;2;25;nenhum;15/06/2018;masculino casado/viuvo;carro novo;ruim
8386;2;49;nenhum;15/06/2020;masculino solteiro;mobilia/equipamento;ruim
4844;2;33;banco;16/06/2018;masculino solteiro;negócios;ruim
2923;1;28;banco;16/06/2019;fem div/cas;carro novo;bom
8229;2;26;nenhum;17/06/2020;masculino solteiro;carro usado;ruim
2028;2;30;nenhum;17/06/2018;masculino solteiro;mobilia/equipamento;bom
1433;3;25;nenhum;17/06/2020;fem div/cas;mobilia/equipamento;bom
6289;1;33;nenhum;17/06/2018;masculino div/sep;negócios;bom
1409;4;64;nenhum;19/06/2020;fem div/cas;radio/tv;bom
6579;2;29;nenhum;20/06/2018;masculino solteiro;carro usado;bom
1743;2;48;nenhum;21/06/2019;masculino solteiro;radio/tv;bom
3565;1;37;nenhum;24/06/2019;masculino solteiro;educação;bom
1569;4;34;banco;25/06/2018;masculino solteiro;radio/tv;bom
1936;4;23;nenhum;26/06/2018;masculino casado/viuvo;radio/tv;bom
3959;3;30;nenhum;27/06/2018;masculino solteiro;mobilia/equipamento;bom
2390;3;50;nenhum;28/06/2019;masculino solteiro;carro novo;bom
1736;4;31;nenhum;29/06/2018;fem div/cas;mobilia/equipamento;bom
3857;4;40;nenhum;30/06/2018;masculino div/sep;carro usado;bom
804;4;38;nenhum;03/07/2018;masculino solteiro;radio/tv;bom
1845;4;23;nenhum;04/07/2019;masculino solteiro;radio/tv;ruim
4576;4;27;nenhum;05/07/2018;masculino solteiro;carro usado;bom
